# Proj2026 Q3 benchmark  Feller: 20*kappa*theta > sigma^2
# Exact (BK) dt=0.001 n_steps=1000 | Euler dt=0.001 n=1000 | almost fine dt=0.001 n=1000 | almost coarse dt=0.0333333 n=30
# paths=262144 rho=-0.7  err_* = mean_* - mean_exact (MC reference)
id,kappa,theta,sigma,feller_gap,ms_exact,ms_euler,ms_almost_dt1000,ms_almost_dt1_30,mean_exact,mean_euler,mean_almost_1000,mean_almost_30,err_euler,err_almost_1000,err_almost_30
165,4.34286,0.01,0.614286,0.491224,529.316,4.25165,536.273,12.4875,0.062374864,0.064429037,0.063372664,0.058900762,0.0020541735,0.00099780038,-0.0034741014
166,4.34286,0.01,0.742857,0.316735,502.942,4.49331,518.651,12.8881,0.060661506,0.063342847,0.060416974,0.058029074,0.002681341,-0.00024453178,-0.0026324317
167,4.34286,0.01,0.871429,0.109184,485.091,4.50022,493.506,13.114,0.058674924,0.062989525,0.059486113,0.056470037,0.0043146014,0.00081118941,-0.0022048876
168,4.34286,0.08,0.1,6.93857,160.344,4.52198,165.679,20.4291,0.11450478,0.11572856,0.11528721,0.10699777,0.0012237802,0.00078242272,-0.0075070113
169,4.34286,0.08,0.228571,6.89633,707.573,3.6385,710.841,15.6116,0.10612933,0.11371583,0.10695606,0.11134797,0.0075864941,0.00082673132,0.0052186325
170,4.34286,0.08,0.357143,6.82102,541.301,3.64378,544.684,6.30214,0.10650979,0.11348772,0.10864341,0.11077159,0.0069779307,0.0021336228,0.0042617992
171,4.34286,0.08,0.485714,6.71265,540.515,3.65914,548.371,4.05299,0.10841492,0.11263306,0.11181272,0.10990336,0.0042181388,0.0033978,0.0014884397
172,4.34286,0.08,0.614286,6.57122,551.305,3.68026,555.536,4.09133,0.11018176,0.11041073,0.11008859,0.10785247,0.00022897124,-9.316206e-05,-0.0023292899
173,4.34286,0.08,0.742857,6.39674,547.551,3.69914,556.452,4.14106,0.10811067,0.10911633,0.10889857,0.10801744,0.001005657,0.0007878989,-9.3236566e-05
174,4.34286,0.08,0.871429,6.18918,544.597,3.80723,552.774,12.3312,0.10749958,0.10784353,0.10653225,0.1058519,0.00034394115,-0.00096733123,-0.001647681
175,4.34286,0.08,1,5.94857,545.912,3.86662,550.369,12.9063,0.1047526,0.10659643,0.10569251,0.1044253,0.001843825,0.00093991309,-0.00032730401
176,4.34286,0.15,0.1,13.0186,162.246,4.52442,165.782,20.4434,0.14790852,0.14710507,0.14664747,0.15994999,-0.00080345571,-0.0012610555,0.012041464
177,4.34286,0.15,0.228571,12.9763,496.789,3.66182,506.705,16.2484,0.1437919,0.14587785,0.14597926,0.15180512,0.002085954,0.0021873564,0.0080132186
178,4.34286,0.15,0.357143,12.901,577.992,3.63869,593.031,12.4907,0.14342281,0.14529558,0.13495938,0.14809315,0.001872763,-0.0084634274,0.0046703368
179,4.34286,0.15,0.485714,12.7927,542.292,3.65373,547.635,4.72704,0.14132604,0.14398408,0.1372938,0.14585455,0.0026580393,-0.0040322393,0.0045285076
180,4.34286,0.15,0.614286,12.6512,544.039,3.6472,543.725,4.07402,0.14588983,0.14307465,0.13970108,0.1438985,-0.002815187,-0.0061887503,-0.0019913316
181,4.34286,0.15,0.742857,12.4767,546.093,3.64749,553.901,4.09805,0.14027654,0.14200127,0.14072733,0.1422209,0.0017247349,0.00045078993,0.0019443631
182,4.34286,0.15,0.871429,12.2692,549.311,3.66202,557.286,4.14422,0.13781856,0.13976412,0.13966215,0.13935232,0.0019455552,0.0018435866,0.0015337616
183,4.34286,0.15,1,12.0286,544.586,3.7111,554.031,4.19987,0.13708831,0.13828684,0.13808292,0.13882437,0.0011985302,0.00099460781,0.0017360598
184,4.34286,0.22,0.1,19.0986,160.5,4.64339,165.736,20.6915,0.1726609,0.17195886,0.17343639,0.21222639,-0.00070203841,0.00077548623,0.039565489
185,4.34286,0.22,0.228571,19.0563,277.55,3.98912,283.955,17.8897,0.17207776,0.17261511,0.17284213,0.18693298,0.00053735077,0.00076436996,0.014855221
186,4.34286,0.22,0.357143,18.981,672.216,3.6352,678.259,14.5247,0.16584471,0.17195156,0.15908252,0.17716947,0.0061068535,-0.0067621917,0.011324763
187,4.34286,0.22,0.485714,18.8727,551.099,3.6393,554.909,8.94771,0.16515766,0.17042008,0.16079123,0.17534389,0.0052624196,-0.0043664277,0.010186225
188,4.34286,0.22,0.614286,18.7312,539.784,3.63219,546.165,3.72547,0.16043845,0.16992398,0.16364376,0.17210713,0.0094855279,0.0032053143,0.011668682
189,4.34286,0.22,0.742857,18.5567,542.945,3.64723,542.823,4.05504,0.17034064,0.16800022,0.16681889,0.16923794,-0.0023404211,-0.0035217553,-0.0011027008
190,4.34286,0.22,0.871429,18.3492,542.984,3.64845,549.217,4.07907,0.16033682,0.1660898,0.16577885,0.16774794,0.0057529807,0.0054420233,0.0074111223
191,4.34286,0.22,1,18.1086,548.79,3.66387,552.978,4.16147,0.16298735,0.16435017,0.16479059,0.16585331,0.0013628155,0.0018032342,0.0028659552
192,4.34286,0.29,0.1,25.1786,160.304,4.70176,164.823,20.5641,0.1952253,0.19588204,0.19681674,0.2542018,0.00065673888,0.001591444,0.058976501
193,4.34286,0.29,0.228571,25.1363,258.456,4.0407,262.107,18.2294,0.19388203,0.19431289,0.19475119,0.21969509,0.00043085217,0.00086915493,0.025813058
194,4.34286,0.29,0.357143,25.061,642.088,3.64134,644.233,15.7455,0.18626525,0.19480158,0.18398896,0.2104229,0.0085363388,-0.0022762865,0.024157658
195,4.34286,0.29,0.485714,24.9527,582.733,3.63357,591.055,11.6186,0.18798336,0.19173522,0.17883782,0.20216073,0.0037518591,-0.009145543,0.014177367
196,4.34286,0.29,0.614286,24.8112,543.635,3.64125,545.408,6.31091,0.18883838,0.19197002,0.18550989,0.19866586,0.0031316429,-0.0033284873,0.0098274797
197,4.34286,0.29,0.742857,24.6367,539.598,3.6527,546.871,4.09805,0.18176055,0.19034766,0.18742856,0.19411343,0.0085871071,0.0056680143,0.012352884
198,4.34286,0.29,0.871429,24.4292,541.8,3.63472,543.527,4.09187,0.19016945,0.1886124,0.19051686,0.1936232,-0.0015570521,0.00034740567,0.0034537464
199,4.34286,0.29,1,24.1886,546.499,3.65894,550.423,4.08483,0.18519624,0.18733205,0.18218672,0.19064064,0.0021358132,-0.003009513,0.0054444075
200,4.34286,0.36,0.1,31.2586,160.586,4.69971,164.878,20.8035,0.2155216,0.21467546,0.21766815,0.29634145,-0.00084614754,0.0021465421,0.080819845
201,4.34286,0.36,0.228571,31.2163,251.996,4.1673,257.1,18.3147,0.21370842,0.21417713,0.21683183,0.25533238,0.00046871603,0.0031234175,0.041623965
202,4.34286,0.36,0.357143,31.141,539.385,3.65725,550.003,15.5473,0.20421253,0.21408278,0.20687011,0.2327068,0.0098702461,0.0026575774,0.028494269
203,4.34286,0.36,0.485714,31.0327,639.125,3.63859,651.209,13.1485,0.20864689,0.21349575,0.19984879,0.22273071,0.0048488528,-0.0087981075,0.014083818
204,4.34286,0.36,0.614286,30.8912,545.751,3.6393,554.472,8.71837,0.19572601,0.21067454,0.20378804,0.22270848,0.014948532,0.0080620348,0.026982471
205,4.34286,0.36,0.742857,30.7167,537.632,3.632,546.518,4.28128,0.19819732,0.20942929,0.20248054,0.21830203,0.011231974,0.0042832196,0.020104706
206,4.34286,0.36,0.871429,30.5092,540.9,3.64339,545.986,4.07347,0.19937447,0.20787948,0.20808242,0.21448383,0.0085050166,0.0087079555,0.01510936
207,4.34286,0.36,1,30.2686,543.934,3.64058,545.081,4.08394,0.21001509,0.20725009,0.20492536,0.21216086,-0.0027649999,-0.00508973,0.0021457672
208,4.34286,0.43,0.1,37.3386,160.042,4.52112,166.842,20.2236,0.23241711,0.23379585,0.23562142,0.34776351,0.0013787448,0.0032043159,0.1153464
209,4.34286,0.43,0.228571,37.2963,251.498,4.11558,256.448,18.3581,0.2314072,0.23250295,0.23432864,0.27766395,0.0010957569,0.0029214472,0.046256751
210,4.34286,0.43,0.357143,37.221,400.604,3.68656,406.203,15.9498,0.22611795,0.22994211,0.23046446,0.25135875,0.0038241595,0.0043465048,0.025240794
211,4.34286,0.43,0.485714,37.1127,660.658,3.62909,667.247,14.232,0.21843193,0.22988445,0.21399774,0.24972081,0.011452511,-0.0044341981,0.031288877
212,4.34286,0.43,0.614286,36.9712,568.377,3.62909,573.061,10.3678,0.20830736,0.23115626,0.2135085,0.2402541,0.022848904,0.005201146,0.031946748
213,4.34286,0.43,0.742857,36.7967,540.879,3.64317,546.061,6.12861,0.22713983,0.22764517,0.22027923,0.2384759,0.00050534308,-0.0068605989,0.011336073
214,4.34286,0.43,0.871429,36.5892,537.132,3.6409,547.575,4.11261,0.23056798,0.22623545,0.21962099,0.23371994,-0.0043325275,-0.010946989,0.0031519681
215,4.34286,0.43,1,36.3486,541.499,3.6311,542.813,4.07142,0.23198491,0.22403018,0.2245362,0.23330255,-0.0079547316,-0.007448718,0.0013176352
216,4.34286,0.5,0.1,43.4186,161.397,4.49402,165,20.1725,0.25112858,0.25110039,0.25449577,0.40131932,-2.8192997e-05,0.0033671856,0.15019074
217,4.34286,0.5,0.228571,43.3763,249.168,4.1576,253.448,18.2108,0.24952121,0.24915516,0.25451562,0.30209395,-0.00036604702,0.0049944073,0.052572742
218,4.34286,0.5,0.357143,43.301,331.698,3.75322,337.579,16.6723,0.24521092,0.24788831,0.24701148,0.29040405,0.0026773959,0.0018005669,0.045193136
219,4.34286,0.5,0.485714,43.1926,650.124,3.63421,654.982,14.5143,0.23550151,0.24807073,0.22985174,0.27066112,0.012569219,-0.0056497753,0.035159603
220,4.34286,0.5,0.614286,43.0512,596.487,3.62496,604.914,11.8372,0.24147125,0.24747524,0.23174004,0.2655251,0.0060039908,-0.0097312033,0.024053857
221,4.34286,0.5,0.742857,42.8767,542.949,3.65178,552.319,7.84794,0.24460772,0.24466749,0.23240161,0.25793791,5.9768558e-05,-0.012206107,0.013330191
222,4.34286,0.5,0.871429,42.6692,540.287,3.64176,545.929,4.23878,0.2269004,0.24380143,0.22923931,0.2547558,0.016901031,0.0023389161,0.027855396
223,4.34286,0.5,1,42.4286,540.899,3.62915,543.324,4.09382,0.24458893,0.24015827,0.23741539,0.25141427,-0.0044306517,-0.0071735382,0.0068253428
224,5.75714,0.01,0.1,1.14143,501.711,3.66592,500.634,14.9992,0.061984021,0.063450627,0.060677551,0.036205504,0.0014666058,-0.0013064705,-0.025778517
225,5.75714,0.01,0.228571,1.09918,548.18,3.6416,555.973,3.97638,0.062505476,0.062709987,0.060232732,0.049190532,0.00020451099,-0.0022727437,-0.013314944
226,5.75714,0.01,0.357143,1.02388,541.151,3.70893,547.996,10.4596,0.059805173,0.0620034,0.061291244,0.052726682,0.0021982267,0.0014860705,-0.0070784912
227,5.75714,0.01,0.485714,0.91551,538.82,4.01331,543.199,11.9408,0.061551098,0.06073349,0.059461743,0.054117978,-0.00081760809,-0.0020893551,-0.0074331202
228,5.75714,0.01,0.614286,0.774082,517.131,4.3273,528.015,12.5338,0.059411116,0.060220752,0.05795107,0.053724498,0.00080963597,-0.0014600456,-0.0056866184
229,5.75714,0.01,0.742857,0.599592,490.834,4.51798,504.226,12.846,0.057982203,0.059558135,0.056627173,0.053202562,0.0015759319,-0.0013550296,-0.0047796406
230,5.75714,0.01,0.871429,0.392041,472.565,4.35149,481.577,13.1154,0.056184825,0.059578225,0.055307921,0.052695543,0.0033934005,-0.00087690353,-0.003489282
231,5.75714,0.01,1,0.151429,447.694,4.5015,458.145,13.1764,0.054710109,0.059826825,0.054913625,0.051728517,0.005116716,0.00020351633,-0.002981592
232,5.75714,0.08,0.1,9.20143,157.565,4.52522,163.168,20.1264,0.11455675,0.11443581,0.11437817,0.10695281,-0.00012094527,-0.00017858297,-0.0076039433
233,5.75714,0.08,0.228571,9.15918,700.563,3.63264,702.341,15.663,0.10115573,0.11350311,0.10607519,0.10856935,0.012347385,0.0049194619,0.0074136257
234,5.75714,0.08,0.357143,9.08388,535.105,3.63456,544.655,4.29853,0.10479219,0.11326195,0.1088739,0.11005246,0.0084697679,0.0040817112,0.0052602738
235,5.75714,0.08,0.485714,8.97551,535.662,3.65139,543.791,3.96045,0.10913578,0.11202685,0.11038724,0.10955456,0.0028910711,0.0012514666,0.00041878223
236,5.75714,0.08,0.614286,8.83408,542.358,3.6543,551.62,4.008,0.1133505,0.11109161,0.1109567,0.10857747,-0.0022588894,-0.0023938045,-0.0047730282
237,5.75714,0.08,0.742857,8.65959,548.529,3.66045,555.155,4.0919,0.10816935,0.11028608,0.11170663,0.10876754,0.0021167323,0.0035372823,0.00059819221
238,5.75714,0.08,0.871429,8.45204,542.29,3.69843,548.067,4.15853,0.10916814,0.10893618,0.10807345,0.10706647,-0.00023196638,-0.0010946915,-0.0021016672
239,5.75714,0.08,1,8.21143,538.511,3.80458,548.938,12.7463,0.10866891,0.10761753,0.10789026,0.10683601,-0.0010513812,-0.00077865273,-0.001832895
240,5.75714,0.15,0.1,17.2614,159.809,4.63037,164.831,20.5681,0.14786382,0.14813955,0.14999166,0.16501272,0.00027573109,0.0021278411,0.017148897
241,5.75714,0.15,0.228571,17.2192,437.297,3.69011,439.447,16.4065,0.14682811,0.14796802,0.14593919,0.15734127,0.001139909,-0.00088892877,0.010513157
242,5.75714,0.15,0.357143,17.1439,564.466,3.6328,571.536,12.4867,0.13345641,0.14664787,0.13868272,0.14923085,0.013191462,0.0052263141,0.015774444
243,5.75714,0.15,0.485714,17.0355,537.186,3.63171,546.476,3.71533,0.13723217,0.14626682,0.14283825,0.14887404,0.0090346485,0.0056060851,0.011641875
244,5.75714,0.15,0.614286,16.8941,541.997,3.6384,542.664,4.03424,0.13850734,0.14558183,0.1434392,0.1471556,0.0070744902,0.0049318671,0.0086482614
245,5.75714,0.15,0.742857,16.7196,544.206,3.66083,547.363,4.03002,0.14663306,0.14462234,0.1445062,0.14690946,-0.002010718,-0.0021268576,0.00027640164
246,5.75714,0.15,0.871429,16.512,547.174,3.67514,550.404,4.09507,0.14048159,0.14413352,0.14121701,0.14276473,0.0036519319,0.00073541701,0.002283141
247,5.75714,0.15,1,16.2714,545.172,3.69178,555.406,4.11642,0.14037855,0.14188145,0.14191982,0.14196903,0.0015029013,0.0015412718,0.0015904754
248,5.75714,0.22,0.1,25.3214,160.024,4.62822,166.132,20.7184,0.17672898,0.17658491,0.17787053,0.22507663,-0.00014406443,0.0011415482,0.048347652
249,5.75714,0.22,0.228571,25.2792,265.945,4.01379,271.088,17.9653,0.17509294,0.176349,0.17414187,0.19675745,0.0012560636,-0.00095106661,0.021664515
250,5.75714,0.22,0.357143,25.2039,673.157,3.64003,681.932,15.1136,0.16603546,0.17435169,0.1636132,0.18670173,0.0083162338,-0.0024222583,0.020666271
251,5.75714,0.22,0.485714,25.0955,546.14,3.63517,548.762,8.54467,0.16035628,0.17331141,0.16306017,0.18283994,0.012955129,0.0027038902,0.022483662
252,5.75714,0.22,0.614286,24.9541,541.745,3.63158,541.751,4.09869,0.172168,0.17218791,0.16806479,0.17990449,1.9907951e-05,-0.0041032135,0.0077364892
253,5.75714,0.22,0.742857,24.7796,544.565,3.6345,544.3,4.0232,0.17333499,0.17261459,0.16788423,0.17634536,-0.00072039664,-0.0054507554,0.0030103773
254,5.75714,0.22,0.871429,24.572,539.912,3.64704,548.29,4.0641,0.17340504,0.17080872,0.17043458,0.17438486,-0.0025963187,-0.0029704571,0.00097982585
255,5.75714,0.22,1,24.3314,549.753,3.67616,553.817,4.07347,0.16695835,0.16915762,0.16876975,0.17261001,0.0021992773,0.0018114001,0.0056516677
256,5.75714,0.29,0.1,33.3814,162.741,4.53443,165.296,20.386,0.20027773,0.2006595,0.20108864,0.28063872,0.00038176775,0.00081090629,0.080360994
257,5.75714,0.29,0.228571,33.3392,253.819,4.084,259.414,18.6434,0.19932461,0.19894718,0.2006214,0.23133102,-0.00037743151,0.0012967885,0.032006413
258,5.75714,0.29,0.357143,33.2639,628.656,3.6607,634.23,15.7327,0.18950133,0.19770595,0.18815921,0.21788269,0.0082046241,-0.0013421178,0.028381363
259,5.75714,0.29,0.485714,33.1555,573.946,3.63526,581.771,11.8449,0.18456496,0.19694389,0.18573813,0.21324307,0.012378931,0.0011731684,0.028678104
260,5.75714,0.29,0.614286,33.0141,540.606,3.6352,544.453,5.58694,0.19896378,0.19681306,0.18929453,0.20841302,-0.0021507144,-0.0096692443,0.0094492435
261,5.75714,0.29,0.742857,32.8396,541.135,3.64477,548.312,4.09322,0.18574345,0.19471848,0.18664204,0.20256296,0.008975029,0.00089858472,0.016819507
262,5.75714,0.29,0.871429,32.632,543.214,3.65866,544.708,4.03171,0.18592048,0.19452097,0.19116381,0.20049298,0.0086004883,0.0052433312,0.014572501
263,5.75714,0.29,1,32.3914,542.173,3.64032,547.035,4.02022,0.19408543,0.19274352,0.19286706,0.19807954,-0.0013419092,-0.0012183785,0.0039941072
264,5.75714,0.36,0.1,41.4414,166.023,4.4503,164.455,20.7285,0.21949813,0.21995518,0.22273128,0.34582716,0.00045704842,0.0032331496,0.12632903
265,5.75714,0.36,0.228571,41.3992,250.787,4.18611,254.96,18.4281,0.21994279,0.21958782,0.22238788,0.26923275,-0.00035497546,0.0024450868,0.049289957
266,5.75714,0.36,0.357143,41.3239,485.876,3.70963,490.154,15.6316,0.21107054,0.2195178,0.21378817,0.24445692,0.0084472597,0.0027176291,0.033386379
267,5.75714,0.36,0.485714,41.2155,637.419,3.6335,648.63,13.9043,0.20295393,0.21930394,0.20274092,0.23622397,0.016350001,-0.0002130121,0.033270031
268,5.75714,0.36,0.614286,41.0741,546.153,3.64749,548.27,8.49331,0.21625805,0.21701133,0.20536549,0.2319271,0.0007532835,-0.010892555,0.015669048
269,5.75714,0.36,0.742857,40.8996,541.962,3.64749,542.527,3.8921,0.21359812,0.21546254,0.20755993,0.22725114,0.0018644184,-0.0060381889,0.013653025
270,5.75714,0.36,0.871429,40.692,544.68,3.65158,543.335,4.10832,0.21971422,0.21386753,0.21281454,0.2258251,-0.0058466941,-0.0068996847,0.0061108768
271,5.75714,0.36,1,40.4514,540.684,3.65158,547.213,4.01203,0.21613923,0.21328713,0.21255313,0.22108868,-0.0028520972,-0.0035860986,0.0049494505
272,5.75714,0.43,0.1,49.5014,164.196,4.63958,164.686,20.8237,0.24203685,0.23939362,0.24122864,0.40834048,-0.0026432276,-0.00080820918,0.16630363
273,5.75714,0.43,0.228571,49.4592,248.984,4.22189,254.054,18.4958,0.23911682,0.23797072,0.23921156,0.30514622,-0.001146093,9.4741583e-05,0.0660294
274,5.75714,0.43,0.357143,49.3839,340.606,3.79904,350.628,16.3025,0.23406437,0.23849392,0.23563215,0.27492422,0.004429549,0.001567781,0.040859848
275,5.75714,0.43,0.485714,49.2755,668.252,3.63379,672.31,14.5695,0.21567872,0.23781005,0.21320032,0.26155728,0.022131324,-0.0024784058,0.045878559
276,5.75714,0.43,0.614286,49.1341,559.294,3.63315,563.923,10.6651,0.22489753,0.23638512,0.22699015,0.25815976,0.011487588,0.0020926148,0.033262223
277,5.75714,0.43,0.742857,48.9596,542.247,3.6351,547.044,5.56032,0.2302812,0.23545693,0.22248957,0.25031152,0.0051757246,-0.0077916384,0.02003032
278,5.75714,0.43,0.871429,48.752,542.061,3.63267,543.395,4.096,0.22429091,0.23349513,0.22757919,0.24593498,0.0092042238,0.0032882839,0.021644071
279,5.75714,0.43,1,48.5114,543.991,3.63315,543.244,4.02842,0.22062166,0.23195633,0.22996253,0.24286693,0.011334673,0.0093408674,0.022245273
280,5.75714,0.5,0.1,57.5614,160.71,4.52413,165.616,20.3473,0.25596946,0.25701249,0.26250938,0.47610995,0.0010430217,0.006539911,0.22014049
281,5.75714,0.5,0.228571,57.5192,248.541,4.13152,252.635,18.3398,0.25356221,0.25695077,0.25695613,0.3332096,0.0033885539,0.0033939183,0.079647392
282,5.75714,0.5,0.357143,57.4439,301.584,3.8777,308.867,16.8427,0.25474447,0.25541577,0.25377494,0.3046909,0.00067129731,-0.00096952915,0.049946427
283,5.75714,0.5,0.485714,57.3355,649.247,3.6311,652.756,14.7821,0.24151844,0.2553677,0.23725952,0.2890099,0.013849258,-0.0042589158,0.047491461
284,5.75714,0.5,0.614286,57.1941,589.914,3.63712,595.409,12.1804,0.23199823,0.25333616,0.22994034,0.2800886,0.021337926,-0.0020578951,0.048090369
285,5.75714,0.5,0.742857,57.0196,542.54,3.65363,546.312,7.60992,0.22712119,0.25104496,0.24271882,0.27373111,0.02392377,0.015597627,0.046609923
286,5.75714,0.5,0.871429,56.812,540.629,3.63062,546.044,3.84902,0.23821656,0.2493016,0.24318479,0.26599479,0.011085033,0.004968226,0.027778223
287,5.75714,0.5,1,56.5714,543.631,3.62707,543.099,4.06045,0.24740376,0.25018409,0.2441157,0.26376745,0.0027803332,-0.0032880604,0.016363695
288,7.17143,0.01,0.1,1.42429,502.191,3.68045,503.584,14.2793,0.056696817,0.059604235,0.056621272,0.027319081,0.0029074177,-7.5545162e-05,-0.029377736
289,7.17143,0.01,0.228571,1.38204,544.637,3.64582,552.185,3.04448,0.058666714,0.059297603,0.055856489,0.04229201,0.00063088909,-0.0028102249,-0.016374703
290,7.17143,0.01,0.357143,1.30673,536.547,3.70125,544.737,4.01821,0.05633891,0.058503866,0.057719469,0.047484819,0.0021649562,0.0013805591,-0.0088540912
291,7.17143,0.01,0.485714,1.19837,532.997,3.98538,538.824,12.0203,0.05760897,0.057469431,0.056302838,0.049443513,-0.0001395382,-0.0013061315,-0.0081654564
292,7.17143,0.01,0.614286,1.05694,514.144,4.25578,524.179,12.5866,0.056714177,0.056832079,0.056062736,0.049363248,0.00011790171,-0.00065144151,-0.0073509291
293,7.17143,0.01,0.742857,0.882449,490.055,4.42438,502.334,12.8799,0.055909701,0.056686606,0.054997385,0.049551785,0.00077690557,-0.00091231614,-0.0063579157
294,7.17143,0.01,0.871429,0.674898,466.988,4.42163,475.195,13.1359,0.054279529,0.056944314,0.054754823,0.049571101,0.0026647858,0.00047529489,-0.0047084279
295,7.17143,0.01,1,0.434286,440.135,4.69478,454.524,13.226,0.053258698,0.057236608,0.052126586,0.049103685,0.0039779097,-0.001132112,-0.0041550137
296,7.17143,0.08,0.1,11.4643,157.535,4.6569,163.501,20.1134,0.11395543,0.11357888,0.11391165,0.10158535,-0.00037655234,-4.3779612e-05,-0.01237008
297,7.17143,0.08,0.228571,11.422,691.721,3.65363,694.391,15.9805,0.10793746,0.11311561,0.1050754,0.10774399,0.0051781461,-0.0028620586,-0.00019347668
298,7.17143,0.08,0.357143,11.3467,536.504,3.63123,546.738,4.03686,0.1124512,0.11290136,0.10646751,0.10909894,0.00045015663,-0.0059836954,-0.0033522621
299,7.17143,0.08,0.485714,11.2384,544.264,3.6311,542.95,3.94662,0.11491876,0.11189227,0.10994127,0.10960037,-0.0030264929,-0.0049774945,-0.0053183958
300,7.17143,0.08,0.614286,11.0969,540.785,3.65056,547.38,3.9465,0.10847086,0.11150141,0.10988947,0.1098858,0.0030305535,0.0014186129,0.0014149398
301,7.17143,0.08,0.742857,10.9224,546.931,3.6729,549.632,4.06144,0.10904784,0.11100931,0.11064824,0.10937872,0.0019614771,0.0016004071,0.00033088028
302,7.17143,0.08,0.871429,10.7149,542.084,3.69254,552.615,4.1313,0.10868936,0.10988028,0.10936175,0.10788734,0.0011909157,0.0006723851,-0.00080201775
303,7.17143,0.08,1,10.4743,532.084,3.74784,536.187,4.16701,0.10928046,0.10932136,0.10862361,0.10732991,4.0903687e-05,-0.00065685064,-0.0019505545
304,7.17143,0.15,0.1,21.5043,159.173,4.64938,162.941,20.5597,0.14924952,0.15055496,0.15045001,0.17088401,0.0013054311,0.0012004822,0.021634489
305,7.17143,0.15,0.228571,21.462,384.424,3.6905,388.911,16.4598,0.14834206,0.14880234,0.14799526,0.16026036,0.00046028197,-0.00034679472,0.011918306
306,7.17143,0.15,0.357143,21.3867,552.293,3.6327,559.788,12.2114,0.13349123,0.1484869,0.13517641,0.15561286,0.014995664,0.0016851723,0.022121623
307,7.17143,0.15,0.485714,21.2784,536.66,3.62947,543.846,4.07978,0.15053047,0.14821416,0.14163031,0.15129061,-0.002316311,-0.0089001656,0.00076013803
308,7.17143,0.15,0.614286,21.1369,536.82,3.63914,542.592,4.03366,0.14654073,0.14737798,0.14343666,0.1494716,0.00083725154,-0.0031040758,0.0029308647
309,7.17143,0.15,0.742857,20.9625,539.331,3.6393,544.156,4.02874,0.14181371,0.14720601,0.14497705,0.14736332,0.0053922981,0.0031633377,0.0055496097
310,7.17143,0.15,0.871429,20.7549,542.661,3.64451,552.419,4.02922,0.14857689,0.14634848,0.14592957,0.14637157,-0.0022284091,-0.0026473105,-0.0022053123
311,7.17143,0.15,1,20.5143,549.833,3.65814,554.477,4.0911,0.14553542,0.14392608,0.14447515,0.14651078,-0.0016093403,-0.0010602772,0.00097535551
312,7.17143,0.22,0.1,31.5443,159.107,4.52403,165.18,20.0805,0.17834312,0.17922218,0.1792583,0.23638919,0.0008790642,0.00091518462,0.058046073
313,7.17143,0.22,0.228571,31.502,256.821,4.08579,263.174,18.192,0.17753486,0.17755337,0.17723246,0.20390011,1.8507242e-05,-0.00030240417,0.02636525
314,7.17143,0.22,0.357143,31.4267,674.701,3.64954,684.825,14.8415,0.16502236,0.17633198,0.1617687,0.19211264,0.011309624,-0.0032536536,0.027090281
315,7.17143,0.22,0.485714,31.3184,539.032,3.63315,545.395,8.13955,0.15853696,0.17634837,0.16741367,0.18771727,0.017811418,0.0088767111,0.029180318
316,7.17143,0.22,0.614286,31.1769,539.12,3.63699,545.526,4.02698,0.17527024,0.17658971,0.1704413,0.18382289,0.001319468,-0.0048289448,0.0085526407
317,7.17143,0.22,0.742857,31.0024,540.297,3.63414,544.164,3.98131,0.17822839,0.17360945,0.1730728,0.18059789,-0.0046189427,-0.0051555932,0.0023694932
318,7.17143,0.22,0.871429,30.7949,542.093,3.63264,542.568,4.00608,0.17991479,0.17301184,0.17244703,0.17846262,-0.006902948,-0.0074677616,-0.0014521629
319,7.17143,0.22,1,30.5543,543.707,3.64595,549.606,4.03459,0.17431761,0.17304128,0.17427072,0.17694847,-0.0012763292,-4.6893954e-05,0.0026308596
320,7.17143,0.29,0.1,41.5843,160.193,4.61066,165.175,20.2445,0.20321706,0.20227268,0.20584194,0.31858349,-0.00094437599,0.0026248842,0.11536643
321,7.17143,0.29,0.228571,41.542,250.204,4.22176,254.875,19.1129,0.20115277,0.20256259,0.20208941,0.24983013,0.0014098138,0.00093664229,0.048677355
322,7.17143,0.29,0.357143,41.4667,615.965,3.66797,623.96,15.546,0.1884775,0.19932678,0.19148631,0.2298051,0.010849282,0.0030088127,0.041327596
323,7.17143,0.29,0.485714,41.3584,559.265,3.6273,566.154,12.0177,0.19005685,0.20052174,0.1885341,0.21731231,0.010464892,-0.0015227497,0.027255461
324,7.17143,0.29,0.614286,41.2169,539.984,3.64307,545.668,4.57053,0.19992374,0.19978113,0.18734942,0.21317679,-0.00014260411,-0.012574315,0.013253048
325,7.17143,0.29,0.742857,41.0424,543.515,3.63238,543.567,4.05981,0.18836482,0.19868581,0.19004059,0.20996374,0.010320991,0.0016757697,0.02159892
326,7.17143,0.29,0.871429,40.8349,538.896,3.63178,544.172,3.99123,0.18730383,0.19791943,0.19608785,0.20750709,0.010615602,0.0087840259,0.020203263
327,7.17143,0.29,1,40.5943,538.995,3.62672,546.8,4.0271,0.19007123,0.19634154,0.196036,0.20527406,0.0062703192,0.0059647709,0.015202835
328,7.17143,0.36,0.1,51.6243,161.738,4.59533,164.807,20.732,0.22400126,0.2229021,0.22782323,0.3938871,-0.0010991544,0.003821969,0.16988584
